heure,mac_source,mac_destination,source,destination,protocole,sport,dport,taille
16:22:22,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,80.243.150.140,UDP,6881,53268,146
16:22:23,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,80.243.150.140,192.168.1.97,UDP,53268,6881,352
16:22:23,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,13.67.9.5,HTTPS,63134,443,55
16:22:23,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,13.67.9.5,192.168.1.97,HTTPS,443,63134,66
16:22:24,74:24:9f:1a:e7:bd,33:33:00:00:00:01,fe80::7624:9fff:fe1a:e7bd,ff02::1,IPv6,,,230
16:22:24,f8:54:f6:64:22:13,33:33:00:00:00:16,fe80::118b:feed:fb72:dca4,ff02::16,IPv6,,,190
16:22:26,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:4403::ac40:94eb,2605:59ca:824f:7010:952d:faa:caed:a0ba,IPv6,443,63606,102
16:22:26,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,2605:59ca:824f:7010:952d:faa:caed:a0ba,2606:4700:4403::ac40:94eb,IPv6,63606,443,102
16:22:26,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:4403::ac40:94eb,2605:59ca:824f:7010:952d:faa:caed:a0ba,IPv6,443,63606,78
16:22:27,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:4403::ac40:94eb,2605:59ca:824f:7010:952d:faa:caed:a0ba,IPv6,443,52949,102
16:22:27,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,2605:59ca:824f:7010:952d:faa:caed:a0ba,2606:4700:4403::ac40:94eb,IPv6,52949,443,102
16:22:27,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:4403::ac40:94eb,2605:59ca:824f:7010:952d:faa:caed:a0ba,IPv6,443,52949,78
16:22:27,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,176.160.200.167,UDP,6881,6881,146
16:22:28,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,176.160.200.167,192.168.1.97,UDP,6881,6881,352
16:22:28,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.121.5,192.168.1.97,HTTPS,443,58194,93
16:22:28,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.121.5,HTTPS,58194,443,54
16:22:28,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.121.5,192.168.1.97,HTTPS,443,58194,78
16:22:28,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.121.5,192.168.1.97,HTTPS,443,58194,54
16:22:28,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.121.5,HTTPS,58194,443,54
16:22:31,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,150.171.109.4,192.168.1.97,HTTPS,443,65460,93
16:22:31,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,150.171.109.4,192.168.1.97,HTTPS,443,65460,78
16:22:31,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,150.171.109.4,192.168.1.97,HTTPS,443,65460,54
16:22:31,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,150.171.109.4,HTTPS,65460,443,54
16:22:31,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,150.171.109.4,HTTPS,65460,443,54
16:22:31,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,150.171.109.4,192.168.1.97,HTTPS,443,65460,54
16:22:32,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,81.95.233.51,UDP,6881,6881,146
16:22:33,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,2605:59ca:824f:7010:952d:faa:caed:a0ba,2606:4700:4408::ac40:9bd1,IPv6,63144,443,75
16:22:33,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:4408::ac40:9bd1,2605:59ca:824f:7010:952d:faa:caed:a0ba,IPv6,443,63144,90
16:22:33,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,81.95.233.51,192.168.1.97,UDP,6881,6881,352
16:22:34,dc:4a:9e:d3:3d:59,ff:ff:ff:ff:ff:ff,192.168.1.215,192.168.1.92,ARP,,,42
